iter	Passed	Remaining
0	10	10892
1	22	11432
2	33	11272
3	43	10954
4	56	11146
5	67	11159
6	79	11230
7	90	11162
8	102	11295
9	114	11303
10	126	11373
11	138	11415
12	151	11504
13	163	11494
14	179	11771
15	191	11802
16	203	11763
17	216	11836
18	229	11858
19	241	11837
20	253	11800
21	266	11827
22	277	11790
23	290	11812
24	302	11805
25	315	11831
26	327	11814
27	340	11824
28	352	11786
29	364	11776
30	376	11753
31	388	11742
32	400	11737
33	413	11744
34	425	11741
35	438	11740
36	450	11725
37	462	11711
38	474	11694
39	487	11703
40	500	11712
41	514	11739
42	527	11748
43	541	11761
44	555	11793
45	566	11749
46	577	11714
47	591	11730
48	604	11734
49	618	11755
50	631	11745
51	643	11731
52	654	11693
53	666	11680
54	678	11653
55	691	11654
56	702	11623
57	713	11594
58	725	11567
59	737	11550
60	748	11520
61	760	11504
62	771	11476
63	783	11454
64	797	11472
65	810	11473
66	824	11479
67	835	11456
68	847	11430
69	858	11404
70	869	11375
71	880	11354
72	892	11338
73	905	11326
74	916	11305
75	947	11523
76	962	11532
77	974	11514
78	984	11479
79	995	11449
80	1006	11424
81	1019	11416
82	1031	11391
83	1043	11375
84	1054	11350
85	1064	11317
86	1076	11301
87	1088	11280
88	1101	11274
89	1114	11269
90	1127	11262
91	1139	11243
92	1151	11231
93	1163	11214
94	1176	11205
95	1187	11186
96	1199	11168
97	1211	11151
98	1223	11132
99	1235	11121
100	1248	11111
101	1260	11094
102	1271	11074
103	1282	11046
104	1293	11025
105	1305	11008
106	1316	10986
107	1328	10975
108	1339	10952
109	1350	10924
110	1361	10905
111	1371	10875
112	1382	10851
113	1394	10835
114	1405	10817
115	1416	10794
116	1427	10771
117	1438	10753
118	1449	10733
119	1459	10704
120	1470	10681
121	1480	10654
122	1492	10638
123	1503	10621
124	1514	10598
125	1523	10570
126	1534	10551
127	1545	10530
128	1557	10513
129	1566	10486
130	1578	10468
131	1588	10445
132	1597	10414
133	1608	10394
134	1619	10379
135	1630	10359
136	1641	10339
137	1652	10320
138	1663	10305
139	1673	10281
140	1683	10254
141	1694	10237
142	1704	10215
143	1714	10192
144	1725	10172
145	1735	10149
146	1746	10136
147	1757	10120
148	1768	10098
149	1779	10081
150	1789	10061
151	1800	10046
152	1813	10040
153	1824	10022
154	1836	10009
155	1847	9994
156	1858	9976
157	1869	9962
158	1880	9944
159	1890	9926
160	1900	9905
161	1910	9881
162	1920	9863
163	1928	9832
164	1939	9814
165	1950	9797
166	1960	9776
167	1971	9761
168	1981	9745
169	1992	9728
170	2002	9709
171	2013	9692
172	2021	9663
173	2029	9636
174	2037	9606
175	2046	9579
176	2053	9549
177	2061	9521
178	2070	9495
179	2077	9465
180	2086	9440
181	2094	9413
182	2102	9386
183	2112	9368
184	2122	9352
185	2133	9337
186	2143	9318
187	2153	9299
188	2162	9281
189	2170	9253
190	2178	9226
191	2186	9200
192	2196	9182
193	2207	9169
194	2215	9144
195	2223	9122
196	2232	9099
197	2241	9077
198	2249	9054
199	2257	9030
200	2265	9006
201	2273	8983
202	2285	8974
203	2294	8952
204	2304	8936
205	2312	8913
206	2320	8889
207	2328	8865
208	2336	8844
209	2345	8822
210	2354	8802
211	2363	8784
212	2372	8765
213	2380	8743
214	2388	8721
215	2397	8702
216	2407	8686
217	2415	8665
218	2423	8643
219	2431	8621
220	2439	8600
221	2447	8576
222	2456	8557
223	2463	8535
224	2472	8514
225	2480	8494
226	2488	8473
227	2496	8451
228	2505	8434
229	2513	8413
230	2521	8392
231	2529	8372
232	2536	8351
233	2545	8331
234	2552	8310
235	2561	8291
236	2569	8272
237	2578	8254
238	2585	8232
239	2593	8212
240	2600	8191
241	2608	8171
242	2616	8152
243	2624	8132
244	2633	8114
245	2641	8096
246	2649	8076
247	2658	8059
248	2666	8041
249	2673	8021
250	2682	8004
251	2690	7985
252	2698	7966
253	2706	7947
254	2713	7927
255	2721	7909
256	2730	7892
257	2737	7873
258	2746	7858
259	2754	7841
260	2763	7823
261	2771	7805
262	2780	7791
263	2788	7773
264	2799	7765
265	2807	7746
266	2815	7728
267	2823	7710
268	2831	7693
269	2839	7677
270	2847	7659
271	2855	7642
272	2863	7624
273	2871	7607
274	2879	7591
275	2887	7573
276	2895	7558
277	2904	7543
278	2912	7527
279	2921	7511
280	2929	7496
281	2938	7480
282	2946	7464
283	2954	7448
284	2962	7433
285	2970	7415
286	2978	7399
287	2986	7382
288	2994	7366
289	3002	7350
290	3010	7335
291	3018	7319
292	3027	7304
293	3034	7287
294	3042	7270
295	3050	7254
296	3058	7240
297	3066	7224
298	3075	7209
299	3082	7193
300	3091	7178
301	3099	7162
302	3106	7146
303	3115	7132
304	3123	7116
305	3131	7101
306	3139	7087
307	3147	7072
308	3156	7057
309	3164	7043
310	3171	7026
311	3179	7011
312	3187	6996
313	3196	6983
314	3204	6969
315	3212	6954
316	3220	6938
317	3229	6925
318	3237	6912
319	3245	6896
320	3253	6882
321	3261	6867
322	3272	6858
323	3283	6851
324	3292	6837
325	3300	6823
326	3310	6812
327	3318	6798
328	3326	6784
329	3335	6771
330	3343	6757
331	3351	6743
332	3358	6727
333	3366	6713
334	3374	6698
335	3383	6685
336	3391	6672
337	3399	6657
338	3408	6645
339	3416	6632
340	3426	6620
341	3434	6607
342	3441	6592
343	3449	6578
344	3457	6564
345	3465	6551
346	3474	6538
347	3482	6523
348	3490	6510
349	3497	6495
350	3505	6482
351	3513	6468
352	3522	6455
353	3530	6442
354	3538	6428
355	3546	6415
356	3554	6402
357	3562	6389
358	3570	6375
359	3578	6362
360	3586	6348
361	3594	6335
362	3603	6323
363	3612	6311
364	3619	6297
365	3628	6286
366	3636	6272
367	3644	6259
368	3652	6246
369	3661	6234
370	3669	6221
371	3677	6208
372	3686	6196
373	3694	6183
374	3701	6169
375	3709	6155
376	3718	6144
377	3726	6131
378	3733	6117
379	3741	6104
380	3749	6092
381	3757	6079
382	3766	6067
383	3774	6055
384	3782	6042
385	3790	6029
386	3798	6016
387	3806	6003
388	3814	5990
389	3822	5978
390	3830	5966
391	3838	5953
392	3846	5940
393	3854	5927
394	3862	5916
395	3871	5905
396	3880	5893
397	3889	5883
398	3897	5870
399	3905	5858
400	3914	5846
401	3923	5836
402	3931	5823
403	3939	5812
404	3947	5799
405	3955	5787
406	3963	5774
407	3972	5763
408	3979	5750
409	3988	5739
410	3997	5728
411	4004	5715
412	4012	5703
413	4020	5690
414	4029	5679
415	4037	5668
416	4046	5656
417	4054	5645
418	4062	5632
419	4069	5619
420	4077	5607
421	4086	5596
422	4093	5584
423	4101	5572
424	4109	5560
425	4117	5548
426	4126	5536
427	4134	5525
428	4142	5513
429	4149	5501
430	4157	5488
431	4166	5477
432	4174	5466
433	4183	5455
434	4191	5443
435	4199	5432
436	4207	5420
437	4215	5408
438	4223	5396
439	4230	5384
440	4238	5373
441	4247	5362
442	4255	5350
443	4263	5338
444	4271	5327
445	4279	5315
446	4287	5304
447	4295	5293
448	4304	5281
449	4313	5271
450	4322	5261
451	4329	5249
452	4337	5237
453	4345	5225
454	4353	5214
455	4361	5203
456	4370	5192
457	4377	5180
458	4385	5169
459	4393	5157
460	4402	5146
461	4410	5136
462	4418	5124
463	4426	5113
464	4434	5101
465	4442	5090
466	4450	5080
467	4458	5068
468	4466	5056
469	4474	5045
470	4482	5034
471	4490	5023
472	4497	5011
473	4506	5001
474	4514	4990
475	4524	4980
476	4531	4968
477	4539	4957
478	4548	4947
479	4559	4939
480	4567	4928
481	4575	4917
482	4585	4907
483	4593	4897
484	4602	4886
485	4609	4875
486	4618	4864
487	4627	4854
488	4634	4843
489	4643	4832
490	4651	4821
491	4659	4810
492	4667	4799
493	4675	4788
494	4683	4777
495	4692	4767
496	4699	4756
497	4708	4746
498	4717	4736
499	4726	4726
500	4734	4715
501	4743	4705
502	4751	4694
503	4760	4684
504	4768	4674
505	4776	4663
506	4785	4653
507	4793	4642
508	4802	4632
509	4811	4622
510	4820	4612
511	4828	4602
512	4836	4591
513	4844	4580
514	4851	4569
515	4860	4558
516	4868	4547
517	4875	4536
518	4883	4526
519	4892	4516
520	4900	4505
521	4908	4495
522	4917	4485
523	4926	4475
524	4934	4464
525	4942	4454
526	4950	4443
527	4958	4432
528	4967	4422
529	4974	4411
530	4983	4401
531	4990	4390
532	4999	4380
533	5009	4371
534	5018	4361
535	5028	4352
536	5036	4342
537	5047	4334
538	5055	4324
539	5066	4315
540	5075	4306
541	5084	4296
542	5094	4287
543	5104	4278
544	5114	4269
545	5123	4260
546	5131	4249
547	5140	4239
548	5148	4229
549	5156	4219
550	5165	4209
551	5174	4199
552	5182	4189
553	5190	4178
554	5198	4168
555	5206	4157
556	5226	4157
557	5240	4151
558	5253	4144
559	5262	4134
560	5270	4124
561	5279	4114
562	5288	4104
563	5296	4094
564	5304	4084
565	5313	4073
566	5320	4063
567	5329	4053
568	5338	4043
569	5347	4033
570	5356	4024
571	5364	4013
572	5372	4003
573	5380	3993
574	5388	3983
575	5397	3972
576	5405	3962
577	5414	3953
578	5423	3943
579	5431	3933
580	5440	3923
581	5449	3913
582	5458	3904
583	5467	3894
584	5478	3886
585	5488	3877
586	5497	3867
587	5507	3859
588	5518	3850
589	5528	3841
590	5538	3832
591	5547	3823
592	5557	3814
593	5566	3804
594	5577	3796
595	5587	3787
596	5595	3777
597	5604	3767
598	5612	3756
599	5619	3746
600	5627	3736
601	5635	3726
602	5643	3715
603	5652	3705
604	5660	3695
605	5668	3685
606	5676	3675
607	5685	3665
608	5693	3655
609	5702	3645
610	5710	3635
611	5718	3625
612	5726	3615
613	5746	3612
614	5762	3607
615	5775	3600
616	5783	3590
617	5792	3580
618	5801	3570
619	5808	3560
620	5817	3550
621	5824	3539
622	5833	3529
623	5840	3519
624	5850	3510
625	5857	3499
626	5865	3489
627	5875	3480
628	5884	3470
629	5893	3461
630	5902	3451
631	5912	3442
632	5921	3433
633	5931	3424
634	5941	3415
635	5950	3405
636	5959	3396
637	5969	3386
638	5978	3377
639	5987	3367
640	5996	3358
641	6004	3348
642	6013	3338
643	6020	3328
644	6029	3318
645	6037	3308
646	6046	3298
647	6054	3288
648	6062	3278
649	6070	3268
650	6078	3258
651	6086	3248
652	6094	3238
653	6103	3228
654	6112	3219
655	6119	3209
656	6128	3199
657	6136	3189
658	6144	3179
659	6153	3170
660	6161	3160
661	6171	3150
662	6180	3141
663	6187	3131
664	6196	3121
665	6204	3111
666	6212	3101
667	6221	3091
668	6229	3081
669	6237	3072
670	6246	3062
671	6254	3053
672	6265	3044
673	6274	3035
674	6283	3025
675	6292	3015
676	6302	3006
677	6312	2997
678	6321	2988
679	6330	2979
680	6340	2969
681	6349	2960
682	6359	2951
683	6369	2942
684	6378	2933
685	6388	2924
686	6397	2914
687	6407	2905
688	6415	2895
689	6424	2886
690	6433	2877
691	6441	2867
692	6449	2857
693	6457	2847
694	6466	2837
695	6475	2828
696	6483	2818
697	6491	2808
698	6500	2799
699	6509	2789
700	6517	2779
701	6525	2770
702	6534	2760
703	6543	2751
704	6551	2741
705	6559	2731
706	6567	2721
707	6575	2712
708	6583	2702
709	6591	2692
710	6599	2682
711	6608	2673
712	6616	2663
713	6624	2653
714	6632	2643
715	6640	2633
716	6648	2624
717	6656	2614
718	6665	2604
719	6673	2595
720	6681	2585
721	6689	2575
722	6697	2565
723	6705	2556
724	6714	2546
725	6722	2537
726	6731	2527
727	6741	2518
728	6762	2513
729	6771	2504
730	6780	2495
731	6791	2486
732	6802	2477
733	6813	2469
734	6824	2460
735	6834	2451
736	6844	2442
737	6855	2433
738	6864	2424
739	6873	2414
740	6882	2405
741	6892	2396
742	6903	2387
743	6911	2378
744	6920	2368
745	6928	2359
746	6937	2349
747	6947	2340
748	6957	2331
749	6965	2321
750	6974	2312
751	6984	2303
752	6993	2293
753	7000	2284
754	7009	2274
755	7019	2265
756	7027	2255
757	7036	2246
758	7044	2236
759	7052	2227
760	7060	2217
761	7068	2207
762	7077	2198
763	7085	2188
764	7094	2179
765	7103	2169
766	7111	2160
767	7119	2150
768	7127	2141
769	7136	2131
770	7144	2122
771	7153	2112
772	7161	2103
773	7169	2093
774	7177	2083
775	7185	2074
776	7193	2064
777	7201	2055
778	7209	2045
779	7218	2035
780	7226	2026
781	7235	2017
782	7243	2007
783	7252	1998
784	7261	1988
785	7269	1979
786	7277	1969
787	7285	1960
788	7293	1950
789	7301	1940
790	7309	1931
791	7317	1921
792	7325	1912
793	7333	1902
794	7341	1893
795	7350	1883
796	7358	1874
797	7366	1864
798	7375	1855
799	7382	1845
800	7390	1836
801	7399	1826
802	7408	1817
803	7415	1807
804	7424	1798
805	7432	1789
806	7455	1783
807	7464	1773
808	7473	1764
809	7481	1754
810	7489	1745
811	7497	1735
812	7506	1726
813	7514	1717
814	7522	1707
815	7531	1698
816	7539	1688
817	7548	1679
818	7558	1670
819	7567	1661
820	7576	1651
821	7584	1642
822	7592	1632
823	7600	1623
824	7609	1614
825	7617	1604
826	7626	1595
827	7633	1585
828	7641	1576
829	7650	1567
830	7658	1557
831	7667	1548
832	7676	1538
833	7684	1529
834	7693	1520
835	7702	1511
836	7711	1501
837	7720	1492
838	7728	1483
839	7735	1473
840	7746	1464
841	7757	1455
842	7767	1446
843	7777	1437
844	7788	1428
845	7797	1419
846	7813	1411
847	7830	1403
848	7842	1394
849	7855	1386
850	7865	1377
851	7874	1367
852	7883	1358
853	7892	1349
854	7900	1339
855	7909	1330
856	7919	1321
857	7927	1312
858	7935	1302
859	7943	1293
860	7953	1284
861	7962	1274
862	7970	1265
863	7980	1256
864	7988	1246
865	7996	1237
866	8004	1227
867	8012	1218
868	8020	1209
869	8028	1199
870	8036	1190
871	8047	1181
872	8057	1172
873	8065	1162
874	8073	1153
875	8080	1143
876	8089	1134
877	8097	1125
878	8104	1115
879	8112	1106
880	8120	1096
881	8127	1087
882	8135	1078
883	8143	1068
884	8151	1059
885	8159	1049
886	8168	1040
887	8175	1031
888	8183	1021
889	8191	1012
890	8199	1003
891	8207	993
892	8214	984
893	8222	974
894	8230	965
895	8238	956
896	8245	946
897	8253	937
898	8261	928
899	8269	918
900	8277	909
901	8285	900
902	8292	890
903	8300	881
904	8307	872
905	8315	862
906	8323	853
907	8331	844
908	8338	834
909	8346	825
910	8355	816
911	8363	806
912	8370	797
913	8378	788
914	8385	779
915	8393	769
916	8401	760
917	8408	751
918	8416	741
919	8423	732
920	8431	723
921	8440	714
922	8448	704
923	8456	695
924	8464	686
925	8472	677
926	8480	667
927	8488	658
928	8497	649
929	8504	640
930	8512	630
931	8520	621
932	8528	612
933	8536	603
934	8544	593
935	8552	584
936	8560	575
937	8568	566
938	8576	557
939	8583	547
940	8591	538
941	8599	529
942	8607	520
943	8615	511
944	8623	501
945	8631	492
946	8639	483
947	8647	474
948	8655	465
949	8663	455
950	8670	446
951	8678	437
952	8686	428
953	8695	419
954	8702	410
955	8710	400
956	8718	391
957	8726	382
958	8733	373
959	8741	364
960	8749	355
961	8757	345
962	8765	336
963	8774	327
964	8782	318
965	8789	309
966	8797	300
967	8805	291
968	8813	281
969	8821	272
970	8829	263
971	8837	254
972	8845	245
973	8853	236
974	8862	227
975	8870	218
976	8879	209
977	8887	199
978	8896	190
979	8905	181
980	8914	172
981	8922	163
982	8930	154
983	8939	145
984	8947	136
985	8956	127
986	8964	118
987	8973	108
988	8981	99
989	8989	90
990	8997	81
991	9005	72
992	9013	63
993	9021	54
994	9028	45
995	9036	36
996	9044	27
997	9051	18
998	9059	9
999	9067	0
